installment,purpose,application_type,int_rate,last_pymnt_amnt,loan_amnt,revol_bal,delinq_2yrs,inq_last_6mths,mort_acc,grade,open_acc,revol_util,total_acc,fico_range_low,fico_range_high,addr_state,emp_length,home_ownership,verification_status,annual_inc,loan_status
371.59,debt_consolidation,Individual,19.99,6929.54,10000.0,7772.0,0.0,0.0,0.0,D,9.0,29.7,16.0,700.0,704.0,GA,,MORTGAGE,Verified,26000.0,Fully Paid
786.83,debt_consolidation,Individual,19.52,478.0,30000.0,27298.0,0.0,5.0,1.0,E,13.0,51.8,23.0,705.0,709.0,NY,< 1 year,MORTGAGE,Verified,85000.0,Charged Off
651.9,major_purchase,Individual,16.55,651.75,18400.0,1385.0,0.0,1.0,2.0,D,14.0,9.0,24.0,720.0,724.0,TX,5 years,MORTGAGE,Verified,80000.0,Fully Paid
553.08,debt_consolidation,Individual,6.67,14357.72,18000.0,38213.0,0.0,0.0,2.0,A,5.0,48.4,13.0,715.0,719.0,AZ,,RENT,Source Verified,60000.0,Fully Paid
678.61,debt_consolidation,Joint App,13.49,678.61,20000.0,16733.0,0.0,1.0,0.0,C,15.0,42.9,17.0,690.0,694.0,GA,9 years,RENT,Verified,35000.0,Charged Off
1218.88,house,Individual,6.11,1218.88,40000.0,7116.0,0.0,0.0,2.0,A,12.0,16.1,23.0,760.0,764.0,DC,< 1 year,RENT,Source Verified,200000.0,Current
268.75,debt_consolidation,Individual,12.79,4471.39,8000.0,3609.0,0.0,0.0,0.0,C,6.0,32.8,10.0,660.0,664.0,CA,2 years,RENT,Not Verified,60000.0,Fully Paid
73.26,vacation,Individual,18.94,73.26,2000.0,13550.0,2.0,0.0,0.0,D,17.0,60.5,24.0,665.0,669.0,MD,10+ years,RENT,Not Verified,85505.0,Current
96.42,debt_consolidation,Individual,9.16,2825.43,3025.0,2840.0,0.0,2.0,2.0,B,16.0,6.1,41.0,730.0,734.0,GA,7 years,MORTGAGE,Source Verified,28000.0,Fully Paid
527.43,other,Individual,16.01,545.67,15000.0,8280.0,1.0,0.0,0.0,C,11.0,41.8,25.0,670.0,674.0,TX,9 years,OWN,Source Verified,50000.0,Charged Off
134.18,home_improvement,Individual,12.69,134.15,4000.0,17935.0,0.0,0.0,1.0,C,11.0,70.1,13.0,710.0,714.0,OR,10+ years,MORTGAGE,Source Verified,67778.0,Fully Paid
1188.76,debt_consolidation,Individual,13.56,1274.7,35000.0,24517.0,2.0,1.0,3.0,C,11.0,55.6,18.0,685.0,689.0,GA,2 years,MORTGAGE,Source Verified,125000.0,Current
414.81,debt_consolidation,Individual,6.67,814.81,13500.0,31658.0,0.0,0.0,1.0,A,13.0,49.7,24.0,740.0,744.0,FL,10+ years,MORTGAGE,Not Verified,90000.0,Current
843.53,debt_consolidation,Individual,15.59,843.53,35000.0,20486.0,1.0,2.0,1.0,C,15.0,41.5,21.0,735.0,739.0,TX,3 years,MORTGAGE,Source Verified,127800.0,Current
669.59,debt_consolidation,Individual,6.03,144.59,22000.0,33.0,0.0,1.0,1.0,A,5.0,0.1,11.0,800.0,804.0,TX,5 years,OWN,Verified,230000.0,Fully Paid
372.71,debt_consolidation,Individual,16.99,372.71,15000.0,8451.0,0.0,0.0,0.0,D,7.0,57.1,11.0,695.0,699.0,RI,3 years,RENT,Source Verified,93000.0,Current
247.46,debt_consolidation,Individual,7.12,247.3,8000.0,7785.0,0.0,0.0,0.0,A,9.0,28.1,17.0,750.0,754.0,TX,< 1 year,OWN,Not Verified,48000.0,Fully Paid
184.18,debt_consolidation,Individual,17.57,4883.49,5125.0,3835.0,1.0,0.0,1.0,D,7.0,72.0,16.0,665.0,669.0,OR,6 years,RENT,Source Verified,58000.0,Fully Paid
489.31,medical,Individual,10.75,50.0,15000.0,13962.0,0.0,0.0,3.0,B,16.0,39.0,26.0,675.0,679.0,MD,7 years,MORTGAGE,Verified,62000.0,Charged Off
681.21,credit_card,Individual,16.02,27842.97,28000.0,107168.0,0.0,0.0,5.0,C,18.0,61.4,38.0,735.0,739.0,CA,10+ years,RENT,Verified,175000.0,Fully Paid
195.42,debt_consolidation,Individual,10.64,195.04,6000.0,29507.0,0.0,0.0,2.0,B,14.0,82.0,19.0,685.0,689.0,TX,10+ years,MORTGAGE,Verified,43000.0,Fully Paid
341.73,credit_card,Individual,13.99,341.73,10000.0,11818.0,0.0,1.0,5.0,C,9.0,62.9,26.0,675.0,679.0,CO,2 years,RENT,Verified,36000.0,Charged Off
512.01,credit_card,Joint App,9.43,512.01,16000.0,20394.0,0.0,0.0,0.0,B,8.0,66.6,10.0,680.0,684.0,CO,< 1 year,RENT,Not Verified,20000.0,Late (31-120 days)
210.75,debt_consolidation,Individual,18.99,210.75,5750.0,4434.0,0.0,0.0,0.0,D,6.0,82.1,10.0,675.0,679.0,MI,,RENT,Verified,18000.0,Charged Off
140.9,debt_consolidation,Individual,11.06,3822.51,4300.0,4017.0,0.0,0.0,1.0,B,5.0,25.1,16.0,730.0,734.0,NC,6 years,OWN,Not Verified,30000.0,Fully Paid
213.89,debt_consolidation,Individual,14.09,213.6,6250.0,6363.0,0.0,0.0,0.0,B,4.0,88.4,5.0,695.0,699.0,OH,9 years,OWN,Not Verified,22000.0,Fully Paid
812.13,debt_consolidation,Individual,12.62,812.13,36000.0,35143.0,0.0,0.0,1.0,C,5.0,68.2,20.0,705.0,709.0,MA,10+ years,MORTGAGE,Source Verified,107000.0,Current
65.85,other,Individual,11.39,65.85,2000.0,1385.0,3.0,1.0,4.0,B,6.0,38.5,29.0,670.0,674.0,CA,10+ years,MORTGAGE,Source Verified,87000.0,Current
358.88,debt_consolidation,Individual,17.47,358.88,10000.0,20177.0,0.0,0.0,0.0,D,12.0,63.6,13.0,660.0,664.0,VA,,RENT,Source Verified,40000.0,Current
539.57,credit_card,Individual,13.06,539.57,16000.0,21492.0,0.0,0.0,0.0,C,12.0,80.8,17.0,670.0,674.0,IL,10+ years,RENT,Not Verified,63000.0,Current
1204.06,debt_consolidation,Joint App,14.46,17768.3,35000.0,41011.0,0.0,0.0,3.0,C,16.0,79.8,31.0,710.0,714.0,TN,< 1 year,RENT,Verified,40000.0,Fully Paid
1173.81,debt_consolidation,Individual,19.05,17.94,32000.0,12603.0,0.0,1.0,3.0,D,13.0,72.8,30.0,690.0,694.0,TX,2 years,MORTGAGE,Verified,142000.0,Fully Paid
671.29,debt_consolidation,Individual,12.73,671.29,20000.0,8943.0,4.0,2.0,2.0,B,11.0,20.6,18.0,660.0,664.0,MA,,MORTGAGE,Not Verified,154000.0,Current
288.05,credit_card,Individual,9.44,288.05,9000.0,2129.0,1.0,2.0,2.0,B,6.0,45.3,29.0,665.0,669.0,MD,10+ years,MORTGAGE,Source Verified,78598.0,Current
363.1,debt_consolidation,Individual,18.99,363.1,14000.0,13101.0,0.0,0.0,0.0,D,12.0,88.5,23.0,675.0,679.0,NY,6 years,RENT,Not Verified,42000.0,Current
265.91,credit_card,Individual,12.05,2057.54,8000.0,14400.0,3.0,1.0,4.0,C,13.0,42.0,41.0,695.0,699.0,NC,,MORTGAGE,Verified,85000.0,Fully Paid
480.74,debt_consolidation,Individual,14.33,4127.71,14000.0,9192.0,0.0,1.0,0.0,C,13.0,42.7,15.0,660.0,664.0,NJ,10+ years,RENT,Verified,68000.0,Fully Paid
426.61,credit_card,Individual,6.11,426.61,14000.0,14179.0,0.0,2.0,0.0,A,19.0,21.0,33.0,705.0,709.0,FL,8 years,RENT,Source Verified,65000.0,Current
361.38,debt_consolidation,Individual,5.32,361.38,12000.0,13266.0,0.0,1.0,8.0,A,14.0,22.9,35.0,685.0,689.0,IN,10+ years,MORTGAGE,Not Verified,100000.0,Current
701.34,debt_consolidation,Individual,9.17,701.18,22000.0,58412.0,0.0,4.0,5.0,B,15.0,52.8,44.0,725.0,729.0,OK,10+ years,MORTGAGE,Source Verified,95000.0,Fully Paid
592.63,debt_consolidation,Joint App,11.39,592.63,18000.0,13665.0,0.0,1.0,2.0,B,28.0,38.6,44.0,670.0,674.0,TX,5 years,MORTGAGE,Verified,72000.0,Current
479.04,debt_consolidation,Individual,14.08,10911.09,14000.0,17788.0,0.0,0.0,4.0,C,9.0,38.3,20.0,700.0,704.0,GA,10+ years,MORTGAGE,Source Verified,35000.0,Fully Paid
70.42,other,Individual,9.44,1790.15,2200.0,5193.0,0.0,0.0,4.0,B,11.0,19.4,21.0,670.0,674.0,OR,10+ years,MORTGAGE,Source Verified,41000.0,Fully Paid
750.97,major_purchase,Individual,7.9,750.81,24000.0,40596.0,0.0,0.0,3.0,A,18.0,24.4,35.0,765.0,769.0,MI,10+ years,MORTGAGE,Not Verified,69540.0,Fully Paid
289.18,debt_consolidation,Individual,17.99,289.18,8000.0,5982.0,1.0,0.0,0.0,D,7.0,41.8,18.0,670.0,674.0,DC,< 1 year,RENT,Source Verified,26000.0,Charged Off
969.65,other,Individual,22.15,50.0,35000.0,20691.0,1.0,0.0,0.0,E,9.0,64.1,46.0,680.0,684.0,VA,10+ years,RENT,Verified,80000.0,Charged Off
584.37,debt_consolidation,Individual,10.42,584.37,18000.0,21628.0,0.0,1.0,4.0,B,13.0,42.6,33.0,725.0,729.0,AZ,10+ years,MORTGAGE,Not Verified,60066.0,Current
462.96,debt_consolidation,Individual,6.97,462.96,15000.0,8361.0,1.0,0.0,2.0,A,12.0,31.4,26.0,695.0,699.0,CA,10+ years,RENT,Verified,100000.0,Charged Off
136.87,debt_consolidation,Individual,14.08,136.87,4000.0,10670.0,1.0,0.0,0.0,C,7.0,51.8,18.0,675.0,679.0,CO,< 1 year,RENT,Verified,30000.0,Current
248.82,other,Individual,7.49,6849.45,8000.0,9637.0,1.0,0.0,2.0,A,20.0,20.7,37.0,765.0,769.0,OH,10+ years,MORTGAGE,Not Verified,61000.0,Fully Paid
725.74,credit_card,Individual,24.85,5605.45,24800.0,28065.0,0.0,2.0,0.0,E,18.0,47.9,32.0,680.0,684.0,NY,10+ years,RENT,Source Verified,1116000.0,Fully Paid
314.48,credit_card,Individual,8.24,5900.39,10000.0,13102.0,0.0,0.0,2.0,B,8.0,72.8,22.0,680.0,684.0,NY,10+ years,OWN,Source Verified,41000.0,Fully Paid
69.33,debt_consolidation,Individual,14.99,68.92,2000.0,2523.0,0.0,1.0,0.0,C,17.0,32.3,27.0,720.0,724.0,MN,< 1 year,RENT,Not Verified,20000.0,Fully Paid
182.34,debt_consolidation,Individual,18.99,182.34,4975.0,2716.0,0.0,0.0,0.0,D,3.0,42.4,20.0,670.0,674.0,GA,,MORTGAGE,Verified,15600.0,Current
389.98,debt_consolidation,Individual,10.49,389.98,12000.0,2061.0,1.0,2.0,0.0,B,4.0,6.8,11.0,745.0,749.0,IL,10+ years,OWN,Source Verified,100000.0,Charged Off
558.97,credit_card,Individual,12.12,5880.02,16800.0,27178.0,0.0,1.0,1.0,B,19.0,69.7,27.0,705.0,709.0,WA,10+ years,MORTGAGE,Verified,71408.48,Fully Paid
458.7,home_improvement,Individual,14.49,458.7,19500.0,14887.0,0.0,0.0,1.0,C,15.0,66.0,25.0,680.0,684.0,WI,10+ years,MORTGAGE,Verified,125000.0,Charged Off
804.34,debt_consolidation,Individual,9.8,804.1,25000.0,22627.0,0.0,1.0,1.0,B,11.0,45.7,20.0,735.0,739.0,GA,4 years,OWN,Not Verified,94300.0,Fully Paid
296.99,debt_consolidation,Joint App,19.92,296.99,8000.0,3771.0,0.0,0.0,0.0,D,10.0,46.0,13.0,700.0,704.0,TX,3 years,RENT,Verified,35000.0,Current
131.85,home_improvement,Individual,11.47,1142.57,4000.0,1674.0,0.0,1.0,3.0,B,12.0,35.6,35.0,660.0,664.0,IL,10+ years,MORTGAGE,Source Verified,55000.0,Fully Paid
170.09,debt_consolidation,Individual,13.67,4112.56,5000.0,1574.0,0.0,1.0,1.0,C,4.0,46.3,9.0,675.0,679.0,IN,1 year,RENT,Source Verified,30000.0,Fully Paid
681.21,debt_consolidation,Individual,16.02,681.21,28000.0,45314.0,0.0,1.0,3.0,C,16.0,81.9,22.0,690.0,694.0,FL,10+ years,MORTGAGE,Source Verified,160000.0,Current
846.88,debt_consolidation,Individual,17.77,9539.75,23500.0,18350.0,0.0,1.0,0.0,D,9.0,74.0,15.0,675.0,679.0,IN,2 years,RENT,Verified,52300.0,Fully Paid
498.15,debt_consolidation,Individual,11.99,5721.45,15000.0,9704.0,6.0,0.0,0.0,B,13.0,32.5,26.0,670.0,674.0,PA,8 years,OWN,Not Verified,90000.0,Fully Paid
268.36,credit_card,Individual,12.69,3050.04,8000.0,7565.0,0.0,0.0,0.0,C,7.0,77.2,13.0,705.0,709.0,PA,8 years,RENT,Source Verified,29000.0,Fully Paid
183.26,other,Individual,18.99,4459.0,5000.0,5794.0,1.0,0.0,6.0,D,8.0,37.9,24.0,660.0,664.0,UT,10+ years,MORTGAGE,Verified,75000.0,Fully Paid
245.64,home_improvement,Joint App,16.46,245.64,10000.0,19591.0,2.0,0.0,3.0,C,15.0,69.2,26.0,680.0,684.0,WA,1 year,MORTGAGE,Not Verified,61500.0,Current
1084.07,debt_consolidation,Individual,7.21,1084.07,35000.0,20338.0,0.0,0.0,0.0,A,12.0,14.9,14.0,730.0,734.0,WA,2 years,RENT,Source Verified,130000.0,Current
346.61,major_purchase,Individual,14.99,296.57,10000.0,4098.0,0.0,0.0,0.0,C,6.0,36.3,8.0,665.0,669.0,FL,2 years,OWN,Not Verified,45000.0,Fully Paid
45.49,debt_consolidation,Individual,21.45,45.49,1200.0,36415.0,0.0,0.0,0.0,D,25.0,83.7,54.0,660.0,664.0,FL,1 year,RENT,Source Verified,78000.0,Current
718.59,moving,Individual,15.31,20919.28,30000.0,52056.0,0.0,0.0,2.0,C,14.0,89.9,23.0,695.0,699.0,OK,1 year,MORTGAGE,Source Verified,310000.0,Fully Paid
328.06,credit_card,Individual,11.14,4620.23,10000.0,11671.0,2.0,0.0,0.0,B,18.0,16.3,27.0,700.0,704.0,CO,< 1 year,RENT,Not Verified,64000.0,Fully Paid
670.9,credit_card,Individual,12.69,688.9,20000.0,19135.0,0.0,0.0,2.0,C,14.0,58.2,31.0,675.0,679.0,PA,10+ years,MORTGAGE,Verified,72000.0,Fully Paid
530.38,home_improvement,Individual,16.55,15562.78,21550.0,19420.0,0.0,3.0,3.0,D,8.0,62.0,18.0,695.0,699.0,FL,10+ years,OWN,Verified,60000.0,Fully Paid
30.46,debt_consolidation,Individual,6.08,979.87,1000.0,227.0,0.0,0.0,2.0,A,10.0,0.3,32.0,815.0,819.0,KY,4 years,MORTGAGE,Verified,114996.0,Fully Paid
321.28,debt_consolidation,Individual,17.09,25.16,9000.0,5954.0,0.0,0.0,0.0,D,5.0,42.8,11.0,685.0,689.0,SD,1 year,MORTGAGE,Not Verified,60000.0,Fully Paid
327.68,credit_card,Individual,11.06,327.68,10000.0,31324.0,0.0,0.0,1.0,B,20.0,38.5,48.0,705.0,709.0,VA,9 years,MORTGAGE,Source Verified,102000.0,Current
419.58,debt_consolidation,Individual,15.61,8405.6,12000.0,3975.0,0.0,1.0,5.0,D,10.0,32.3,35.0,690.0,694.0,CA,,MORTGAGE,Verified,52000.0,Fully Paid
79.12,home_improvement,Individual,11.48,237.36,2400.0,5537.0,2.0,0.0,1.0,B,15.0,35.7,22.0,675.0,679.0,TX,6 years,MORTGAGE,Verified,45000.0,Charged Off
446.75,debt_consolidation,Individual,14.47,16778.47,19000.0,19083.0,2.0,0.0,5.0,C,19.0,60.8,39.0,675.0,679.0,CT,10+ years,MORTGAGE,Source Verified,85000.0,Fully Paid
74.25,other,Individual,19.92,74.25,2000.0,7583.0,1.0,0.0,4.0,D,7.0,15.6,18.0,675.0,679.0,NY,< 1 year,MORTGAGE,Not Verified,75000.0,Current
591.15,moving,Individual,13.58,17705.96,17400.0,27437.0,1.0,0.0,1.0,C,16.0,82.4,21.0,665.0,669.0,UT,,MORTGAGE,Not Verified,170000.0,Fully Paid
118.76,debt_consolidation,Individual,13.49,215.0,3500.0,5130.0,1.0,0.0,0.0,C,8.0,33.8,14.0,690.0,694.0,TX,1 year,RENT,Source Verified,40000.0,Charged Off
421.61,home_improvement,Individual,5.32,4.19,14000.0,1979.0,0.0,0.0,3.0,A,9.0,19.2,21.0,790.0,794.0,WI,4 years,MORTGAGE,Not Verified,70000.0,Fully Paid
400.24,other,Individual,12.29,4576.3,12000.0,10900.0,0.0,1.0,0.0,C,12.0,48.0,29.0,700.0,704.0,WA,10+ years,MORTGAGE,Source Verified,70000.0,Fully Paid
700.3,debt_consolidation,Individual,14.31,700.26,20400.0,22498.0,0.0,0.0,0.0,C,14.0,85.9,35.0,675.0,679.0,TX,10+ years,RENT,Source Verified,49000.0,Fully Paid
77.83,debt_consolidation,Individual,10.75,2059.7,3600.0,1018.0,0.0,0.0,,B,7.0,78.3,8.0,720.0,724.0,OH,5 years,RENT,Not Verified,20700.0,Fully Paid
300.27,credit_card,Individual,13.67,300.27,13000.0,11947.0,0.0,1.0,0.0,C,10.0,57.4,17.0,705.0,709.0,OH,10+ years,RENT,Source Verified,37200.0,Charged Off
230.62,debt_consolidation,Individual,6.0,230.62,12000.0,7225.0,0.0,0.0,0.0,D,12.0,60.2,14.0,685.0,689.0,OH,2 years,RENT,Not Verified,45000.0,Current
215.09,debt_consolidation,Individual,6.67,215.09,7000.0,29352.0,0.0,1.0,5.0,A,10.0,48.1,20.0,730.0,734.0,PA,< 1 year,MORTGAGE,Not Verified,85000.0,Current
1218.88,debt_consolidation,Joint App,6.11,1218.88,40000.0,57945.0,0.0,0.0,4.0,A,11.0,58.6,27.0,725.0,729.0,NY,9 years,MORTGAGE,Verified,115000.0,Current
386.82,debt_consolidation,Individual,9.93,386.82,12000.0,22156.0,0.0,0.0,0.0,B,13.0,51.8,23.0,710.0,714.0,LA,3 years,RENT,Not Verified,55000.0,Current
547.55,debt_consolidation,Individual,14.09,547.18,16000.0,20824.0,1.0,4.0,2.0,B,15.0,70.9,25.0,710.0,714.0,AK,2 years,MORTGAGE,Verified,60000.0,Fully Paid
255.04,credit_card,Individual,9.17,6484.01,8000.0,10499.0,0.0,0.0,1.0,B,8.0,72.4,17.0,675.0,679.0,TX,5 years,MORTGAGE,Source Verified,61190.0,Fully Paid
83.25,debt_consolidation,Joint App,15.04,83.25,2400.0,351.0,0.0,1.0,1.0,C,7.0,4.6,12.0,700.0,704.0,CA,,MORTGAGE,Source Verified,23000.0,Current
130.68,debt_consolidation,Individual,10.42,130.68,4025.0,9576.0,0.0,0.0,0.0,B,8.0,36.7,12.0,710.0,714.0,CA,5 years,RENT,Source Verified,25000.0,Current
312.91,debt_consolidation,Individual,7.9,312.61,10000.0,10179.0,0.0,2.0,3.0,A,13.0,82.8,63.0,700.0,704.0,FL,5 years,MORTGAGE,Source Verified,115000.0,Fully Paid
329.91,debt_consolidation,Individual,11.53,4372.91,10000.0,3634.0,1.0,0.0,2.0,B,7.0,95.6,13.0,675.0,679.0,CA,10+ years,RENT,Source Verified,92000.0,Fully Paid
65.07,debt_consolidation,Individual,10.56,2026.19,2000.0,773.0,0.0,0.0,0.0,B,7.0,9.0,9.0,755.0,759.0,SC,5 years,RENT,Not Verified,52000.0,Fully Paid
91.55,vacation,Individual,10.91,91.55,2800.0,5910.0,0.0,0.0,0.0,B,13.0,44.4,17.0,705.0,709.0,PA,2 years,OWN,Source Verified,48402.0,Current
412.83,debt_consolidation,Individual,13.98,412.83,17750.0,17687.0,1.0,1.0,0.0,C,15.0,43.2,28.0,715.0,719.0,GA,1 year,RENT,Source Verified,60000.0,Current
786.42,debt_consolidation,Individual,11.06,786.42,24000.0,4256.0,0.0,0.0,0.0,B,7.0,30.2,8.0,685.0,689.0,NJ,3 years,RENT,Source Verified,50000.0,Current
346.69,debt_consolidation,Individual,8.39,5905.8,11000.0,10764.0,0.0,1.0,0.0,B,6.0,41.7,11.0,735.0,739.0,NJ,10+ years,RENT,Not Verified,50000.0,Fully Paid
150.81,debt_consolidation,Individual,12.62,2630.8,4500.0,3620.0,0.0,1.0,0.0,C,3.0,92.8,5.0,660.0,664.0,PA,10+ years,MORTGAGE,Source Verified,30000.0,Fully Paid
422.48,debt_consolidation,Individual,10.49,422.48,13000.0,8893.0,1.0,3.0,4.0,B,11.0,33.6,25.0,700.0,704.0,IL,10+ years,MORTGAGE,Not Verified,65000.0,Current
737.44,debt_consolidation,Individual,6.67,737.44,24000.0,50405.0,0.0,0.0,4.0,A,16.0,82.9,21.0,720.0,724.0,MA,10+ years,MORTGAGE,Source Verified,90000.0,Current
247.79,credit_card,Individual,7.21,247.79,8000.0,8395.0,0.0,2.0,1.0,A,14.0,17.1,47.0,755.0,759.0,TX,6 years,OWN,Source Verified,65000.0,Current
